unitid,control,year,efdeexc
106041,3,2018,
106041,3,2019,
106041,3,2020,
106102,3,2012,2403
106102,3,2013,1869
106102,3,2014,1354
106102,3,2015,1301
106102,3,2016,1658
106102,3,2017,905
106102,3,2018,
106111,3,2012,
106111,3,2013,0
106111,3,2014,0
106111,3,2015,
106111,3,2016,
106111,3,2017,
106111,3,2018,
106111,3,2019,
106111,3,2020,
106148,1,2012,1208
106148,1,2013,1164
106148,1,2014,1328
106148,1,2015,1254
106148,1,2016,1383
106148,1,2017,1458
106148,1,2018,1539
106148,1,2019,1404
106148,1,2020,3754
106245,1,2012,1935
106245,1,2013,2012
106245,1,2014,1890
106245,1,2015,2079
106245,1,2016,1482
106245,1,2017,2317
106245,1,2018,2338
106245,1,2019,2433
106245,1,2020,6641
106263,1,2012,238
106263,1,2013,278
106263,1,2014,314
106263,1,2015,312
106263,1,2016,620
106263,1,2017,389
106263,1,2018,324
106263,1,2019,411
106263,1,2020,932
106281,3,2012,0
106281,3,2013,0
106281,3,2014,0
106281,3,2015,
106281,3,2016,
106306,2,2012,
106306,2,2013,42
106306,2,2014,31
106306,2,2015,
106306,2,2016,
106306,2,2017,
106306,2,2018,
106306,2,2019,
106306,2,2020,
106315,3,2012,0
106315,3,2013,0
106315,3,2014,0
106315,3,2015,
106315,3,2016,
106315,3,2017,
106315,3,2018,
106315,3,2019,
106315,3,2020,
106324,3,2012,0
106324,3,2013,0
106324,3,2014,0
106324,3,2015,
106324,3,2016,
106324,3,2017,
106324,3,2018,
106324,3,2019,
106324,3,2020,
106342,2,2012,
106342,2,2013,
106342,2,2014,
106342,2,2015,
106342,2,2016,
106342,2,2017,
106342,2,2018,
106342,2,2019,
106342,2,2020,
106351,3,2012,0
106351,3,2013,0
106351,3,2014,0
106351,3,2015,
106351,3,2016,
106351,3,2017,
106351,3,2018,
106351,3,2019,
106351,3,2020,
106360,3,2012,0
106360,3,2013,0
106360,3,2014,0
106360,3,2015,
106360,3,2016,
106360,3,2017,
106360,3,2018,
106360,3,2019,
106360,3,2020,
106397,1,2012,1179
106397,1,2013,1292
106397,1,2014,1677
106397,1,2015,2034
106397,1,2016,2322
106397,1,2017,2371
106397,1,2018,2328
106397,1,2019,2512
106397,1,2020,9232
106412,1,2012,79
106412,1,2013,94
106412,1,2014,103
106412,1,2015,94
106412,1,2016,76
106412,1,2017,58
106412,1,2018,52
106412,1,2019,84
106412,1,2020,166
106449,1,2012,450
106449,1,2013,502
106449,1,2014,437
106449,1,2015,423
106449,1,2016,474
106449,1,2017,461
106449,1,2018,389
106449,1,2019,431
106449,1,2020,606
106458,1,2012,2029
106458,1,2013,2700
106458,1,2014,2719
106458,1,2015,3194
106458,1,2016,3843
106458,1,2017,4130
106458,1,2018,4220
106458,1,2019,4478
106458,1,2020,5152
106467,1,2012,1513
106467,1,2013,1688
106467,1,2014,1770
106467,1,2015,1750
106467,1,2016,2409
106467,1,2017,2389
106467,1,2018,2845
106467,1,2019,2793
106467,1,2020,4503
106485,1,2012,167
106485,1,2013,547
106485,1,2014,610
106485,1,2015,710
106485,1,2016,921
106485,1,2017,722
106485,1,2018,368
106485,1,2019,403
106485,1,2020,436
106494,3,2012,0
106494,3,2013,0
106494,3,2014,0
106494,3,2015,
106494,3,2016,
106494,3,2017,
106494,3,2018,
106494,3,2019,
106494,3,2020,
106546,2,2012,2
106546,2,2013,0
106546,2,2014,1
106546,2,2015,2
106546,2,2016,4
106546,2,2017,3
106546,2,2018,4
106546,2,2019,0
106546,2,2020,0
106607,3,2012,
106625,1,2012,181
106625,1,2013,231
106625,1,2014,202
106625,1,2015,187
106625,1,2016,176
106625,1,2017,177
106625,1,2018,162
106625,1,2019,195
106625,1,2020,369
106704,1,2012,472
106704,1,2013,921
106704,1,2014,955
106704,1,2015,1016
106704,1,2016,1072
106704,1,2017,1027
106704,1,2018,1003
106704,1,2019,1198
106704,1,2020,1390
106713,2,2012,15
106713,2,2013,22
106713,2,2014,39
106713,2,2015,45
106713,2,2016,35
106713,2,2017,32
106713,2,2018,36
106713,2,2019,32
106713,2,2020,33
106795,1,2012,531
106795,1,2013,239
106795,1,2014,197
106795,1,2015,143
106795,1,2016,130
106795,1,2017,181
106795,1,2018,177
106795,1,2019,230
106795,1,2020,230
106810,2,2012,0
106810,2,2013,5
106810,2,2014,3
106810,2,2015,8
106810,2,2016,1
106810,2,2017,0
106810,2,2018,0
106810,2,2019,0
106810,2,2020,3
106829,1,2012,
106829,1,2013,
106829,1,2014,
106829,1,2015,
106829,1,2016,
106829,1,2017,
106829,1,2018,
106829,1,2019,
106883,1,2012,163
106883,1,2013,169
106883,1,2014,173
106883,1,2015,222
106883,1,2016,200
106883,1,2017,190
106883,1,2018,73
106883,1,2019,106
106883,1,2020,318
106892,3,2012,
106892,3,2013,0
106892,3,2014,
106892,3,2015,
106892,3,2016,
106892,3,2017,
106892,3,2018,
106892,3,2019,
106892,3,2020,
106908,3,2012,0
106908,3,2013,0
106908,3,2014,0
106908,3,2015,
106908,3,2016,
106908,3,2017,
106908,3,2018,
106908,3,2019,
106908,3,2020,
106980,1,2012,207
106980,1,2013,214
106980,1,2014,227
106980,1,2015,207
106980,1,2016,210
106980,1,2017,192
106980,1,2018,20
106980,1,2019,40
106980,1,2020,537
106999,1,2012,124
106999,1,2013,125
106999,1,2014,155
106999,1,2015,164
106999,1,2016,211
106999,1,2017,188
